"Line","Speaker","Text","Date","rownum","status","sentiment","score","Anger","Disgust","Fear","Joy","Sadness","Analytical","Confident","Tentative","Agreeableness","Conscientiousness","Emotional Range","Extraversion","Openness"
94,"Holt","Mr. Trump, I'm going to...","2016-09-26",87,"OK","neutral",NA,0.135376,0.135467,0.170162,0.251488,0.696998,0,0,0,0.532,0.571,0.908,0.157,0.108
95,"Trump","And look at her website. You know what? It's no difference than this. She's telling us how to fight ISIS. Just go to her website. She tells you how to fight ISIS on her website. I don't think General Douglas MacArthur would like that too much.","2016-09-26",88,"OK","negative",-0.179634,0.478761,0.75844,0.328821,0.010014,0.470875,0.801,0,0.894,0.933,0.002,0.96,0.99,0.007
96,"Holt","The next segment, we're continuing...","2016-09-26",89,"OK","neutral",NA,0.165562,0.23365,0.461342,0.282293,0.154177,0,0,0,0.983,0.996,0.145,0.888,0.021
97,"Clinton","Well, at least I have a plan to fight ISIS.","2016-09-26",90,"OK","negative",-0.414343,0.417757,0.103972,0.176712,0.289982,0.440275,0,0,0,0.009,0.186,0.891,0.601,0.46
98,"Holt","... achieving prosperity...","2016-09-26",91,"OK","positive",0.810005,0.155395,0.133693,0.121407,0.585008,0.103521,0,0,0,0.012,0.872,0.963,0,0.546
99,"Trump","No, no, you're telling the enemy everything you want to do.","2016-09-26",92,"OK","negative",-0.689588,0.276872,0.070903,0.834153,0.023559,0.151469,0,0,0,0.697,0.004,0.637,0.99,0.016
100,"Clinton","No, we're not. No, we're not.","2016-09-26",93,"OK","negative",-0.615889,0.26615,0.150655,0.283799,0.164153,0.396937,0,0,0,0.998,0,0.996,0.995,0
101,"Trump","See, you're telling the enemy everything you want to do. No wonder you've been fighting -- no wonder you've been fighting ISIS your entire adult life.","2016-09-26",94,"OK","negative",-0.286117,0.351347,0.080685,0.688442,0.016617,0.222672,0,0,0.966,0.752,0,0.919,0.997,0
102,"Clinton","That's a -- that's -- go to the -- please, fact checkers, get to work.","2016-09-26",95,"OK","neutral",NA,0.251946,0.145634,0.224694,0.210801,0.272824,0.849,0.753,0,0.07,0.302,0.739,0.062,0.634
103,"Holt","OK, you are unpacking a lot here. And we're still on the issue of achieving prosperity. And I want to talk about taxes. The fundamental difference between the two of you concerns the wealthy. Secretary Clinton, you're calling for a tax increase on the wealthiest Americans. I'd like you to further defend that. And, Mr. Trump, you're calling for tax cuts for the wealthy. I'd like you to defend that. And this next two-minute answer goes to you, Mr. Trump.","2016-09-26",96,"OK","positive",0.0340247,0.218674,0.658938,0.386522,0.029027,0.474435,0,0,0.492,0.908,0.366,0.038,0.973,0.091
104,"Trump","Well, I'm really calling for major jobs, because the wealthy are going create tremendous jobs. They're going to expand their companies. They're going to do a tremendous job. I'm getting rid of the carried interest provision. And if you really look, it's not a tax -- it's really not a great thing for the wealthy. It's a great thing for the middle class. It's a great thing for companies to expand. And when these people are going to put billions and billions of dollars into companies, and when they're going to bring $2.5 trillion back from overseas, where they can't bring the money back, because politicians like Secretary Clinton won't allow them to bring the money back, because the taxes are so onerous, and the bureaucratic red tape, so what -- is so bad. So what they're doing is they're leaving our country, and they're, believe it or not, leaving because taxes are too high and because some of them have lots of money outside of our country. And instead of bringing it back and putting the money to work, because they can't work out a deal to -- and everybody agrees it should be brought back. Instead of that, they're leaving our country to get their money, because they can't bring their money back into our country, because of bureaucratic red tape, because they can't get together. Because we have -- we have a president that can't sit them around a table and get them to approve something. And here's the thing. Republicans and Democrats agree that this should be done, $2.5 trillion. I happen to think it's double that. It's probably $5 trillion that we can't bring into our country, Lester. And with a little leadership, you'd get it in here very quickly, and it could be put to use on the inner cities and lots of other things, and it would be beautiful. But we have no leadership. And honestly, that starts with Secretary Clinton.","2016-09-26",97,"OK","negative",-0.0960685,0.959205,0.376745,0.032482,0.038227,0.296995,0,0,0.627,0.767,0.101,0.74,0.608,0.17
105,"Holt","All right. You have two minutes of the same question to defend tax increases on the wealthiest Americans, Secretary Clinton.","2016-09-26",98,"OK","positive",0.0407836,0.098151,0.531451,0.289214,0.285194,0.326733,0.966,0.925,0,0.24,0.895,0.028,0.677,0.506
106,"Clinton","I have a feeling that by, the end of this evening, I'm going to be blamed for everything that's ever happened.","2016-09-26",99,"OK","negative",-0.757695,0.286892,0.247526,0.260914,0.110963,0.263181,0,0,0,0.479,0.161,0.919,0.635,0.238
107,"Trump","Why not?","2016-09-26",100,"OK","negative",-0.508464,0.51443,0.080643,0.393218,0.050573,0.443535,0,0,0,0,0,0.998,0.008,0.229
108,"Clinton","Why not? Yeah, why not?","2016-09-26",101,"OK","negative",-0.3923,0.452692,0.117871,0.323246,0.065409,0.379058,0,0,0,0,0,0.998,0.005,0.105
110,"Clinton","You know, just join the debate by saying more crazy things. Now, let me say this, it is absolutely the case...","2016-09-26",102,"OK","positive",0.253156,0.231543,0.218697,0.280924,0.191808,0.339151,0.947,0,0,0.283,0.034,0.798,0.963,0.148
111,"Trump","There's nothing crazy about not letting our companies bring their money back into their country.","2016-09-26",103,"OK","negative",-0.617731,0.091427,0.46006,0.214172,0.159965,0.31516,0,0,0.198,0.888,0.076,0.706,0.819,0.081
112,"Holt","This is -- this is Secretary Clinton's two minutes, please.","2016-09-26",104,"OK","negative",-0.47956,0.262558,0.611701,0.24655,0.128111,0.164971,0,0,0,0.527,0.792,0.401,0.064,0.55
113,"Trump","Yes.","2016-09-26",105,"OK","positive",0.301112,0.130304,0.180909,0.179603,0.608279,0.313543,0,0,0,0.012,0.006,0.401,0.157,0.229
114,"Clinton","Yeah, well, let's start the clock again, Lester. We've looked at your tax proposals. I don't see changes in the corporate tax rates or the kinds of proposals you're referring to that would cause the repatriation, bringing back of money that's stranded overseas. I happen to support that.","2016-09-26",106,"OK","negative",-0.105757,0.359032,0.573704,0.249031,0.048988,0.420307,0.108,0,0.655,0.511,0.074,0.839,0.705,0.096
115,"Trump","Then you didn't read it.","2016-09-26",107,"OK","negative",-0.279069,0.42499,0.14832,0.172141,0.142493,0.406587,0.724,0,0,0.972,0.038,0.511,0.952,0.004
116,"Clinton","I happen to -- I happen to support that in a way that will actually work to our benefit. But when I look at what you have proposed, you have what is called now the Trump loophole, because it would so advantage you and the business you do. You've proposed an approach that has a...","2016-09-26",108,"OK","positive",0.45087,0.217718,0.392212,0.261527,0.194399,0.398248,0.87,0.787,0,0.871,0.16,0.608,0.923,0.026
117,"Trump","Who gave it that name? The first I've -- who gave it that name?","2016-09-26",109,"OK","positive",0.250227,0.181066,0.312021,0.40862,0.131207,0.330865,0,0,0,0.901,0.457,0.905,0.691,0.046
119,"Holt","Mr. Trump, this is Secretary Clinton's two minutes.","2016-09-26",110,"OK","negative",-0.317343,0.189274,0.413258,0.227664,0.216208,0.346823,0,0,0,0.374,0.813,0.401,0.027,0.555
120,"Clinton","... $4 billion tax benefit for your family. And when you look at what you are proposing...","2016-09-26",111,"OK","positive",0.493794,0.317412,0.520272,0.060419,0.270652,0.290574,0.98,0,0,0.994,0.437,0.005,0.992,0.005
121,"Trump","How much? How much for my family? ","2016-09-26",112,"OK","negative",-0.265605,0.241662,0.292258,0.151268,0.207079,0.302594,0,0,0,0.86,0.003,0.997,0.316,0.012
122,"Clinton","... it is...","2016-09-26",113,"OK","neutral",NA,0.259226,0.132389,0.412043,0.312695,0.249682,0,0,0,0.412,0.571,0.401,0.157,0.06
123,"Trump","Lester, how much?","2016-09-26",114,"OK","neutral",NA,0.169989,0.456131,0.226923,0.196443,0.240661,0,0,0,0.001,0.013,0.981,0.023,0.637
124,"Clinton","... as I said, trumped-up trickle-down. Trickle-down did not work. It got us into the mess we were in, in 2008 and 2009. Slashing taxes on the wealthy hasn't worked. And a lot of really smart, wealthy people know that. And they are saying, hey, we need to do more to make the contributions we should be making to rebuild the middle class. ","2016-09-26",115,"OK","negative",-0.318594,0.619409,0.426665,0.187744,0.053041,0.354479,0.323,0,0,0.798,0.038,0.869,0.902,0.123
125,"Clinton","I don't think top-down works in America. I think building the middle class, investing in the middle class, making college debt-free so more young people can get their education, helping people refinance their -- their debt from college at a lower rate. Those are the kinds of things that will really boost the economy. Broad-based, inclusive growth is what we need in America, not more advantages for people at the very top.","2016-09-26",116,"OK","positive",0.660535,0.241572,0.485423,0.23601,0.162114,0.358726,0,0.717,0,0.472,0.387,0.523,0.485,0.365
126,"Holt","Mr. Trump, we're...","2016-09-26",117,"OK","positive",0.367251,0.094213,0.145576,0.289181,0.397149,0.528546,0,0,0,0.994,0.571,0.58,0.979,0.003
127,"Trump","Typical politician. All talk, no action. Sounds good, doesn't work. Never going to happen. Our country is suffering because people like Secretary Clinton have made such bad decisions in terms of our jobs and in terms of what's going on. Now, look, we have the worst revival of an economy since the Great Depression. And believe me: We're in a bubble right now. And the only thing that looks good is the stock market, but if you raise interest rates even a little bit, that's going to come crashing down. We are in a big, fat, ugly bubble. And we better be awfully careful. And we have a Fed that's doing political things. This Janet Yellen of the Fed. The Fed is doing political -- by keeping the interest rates at this level. And believe me: The day Obama goes off, and he leaves, and goes out to the golf course for the rest of his life to play golf, when they raise interest rates, you're going to see some very bad things happen, because the Fed is not doing their job. The Fed is being more political than Secretary Clinton.","2016-09-26",118,"OK","negative",-0.385405,0.780682,0.482781,0.091541,0.028555,0.349446,0.407,0,0.539,0.747,0.109,0.75,0.76,0.154
128,"Holt","Mr. Trump, we're talking about the burden that Americans have to pay, yet you have not released your tax returns. And the reason nominees have released their returns for decades is so that voters will know if their potential president owes money to -- who he owes it to and any business conflicts. Don't Americans have a right to know if there are any conflicts of interest?","2016-09-26",119,"OK","negative",-0.454965,0.45606,0.501069,0.439514,0.009585,0.562292,0.966,0,0.95,0.233,0.021,0.899,0.487,0.265
129,"Trump","I don't mind releasing -- I'm under a routine audit. And it'll be released. And -- as soon as the audit's finished, it will be released. But you will learn more about Donald Trump by going down to the federal elections, where I filed a 104-page essentially financial statement of sorts, the forms that they have. It shows income -- in fact, the income -- I just looked today -- the income is filed at $694 million for this past year, $694 million. If you would have told me I was going to make that 15 or 20 years ago, I would have been very surprised. But that's the kind of thinking that our country needs. When we have a country that's doing so badly, that's being ripped off by every single country in the world, it's the kind of thinking that our country needs, because everybody -- Lester, we have a trade deficit with all of the countries that we do business with, of almost $800 billion a year. You know what that is? That means, who's negotiating these trade deals? We have people that are political hacks negotiating our trade deals.","2016-09-26",120,"OK","negative",-0.185984,0.819917,0.368379,0.06055,0.032099,0.418119,0.699,0,0.422,0.71,0.063,0.918,0.45,0.14
130,"Holt","The IRS says an audit...","2016-09-26",121,"OK","negative",-0.225575,0.189717,0.266701,0.291212,0.193886,0.258139,0,0,0,0.147,0.441,0.014,0.932,0.897
131,"Trump","Excuse me.","2016-09-26",122,"OK","negative",-0.314255,0.24132,0.251963,0.324807,0.31238,0.074855,0,0,0,0.97,0.571,0.994,0.981,0.001
132,"Holt","... of your taxes -- you're perfectly free to release your taxes during an audit. And so the question, does the public's right to know outweigh your personal...","2016-09-26",123,"OK","positive",0.451669,0.409522,0.500388,0.230677,0.064967,0.322768,0,0,0.755,0.839,0.94,0.002,0.986,0.095
133,"Trump","Well, I told you, I will release them as soon as the audit. Look, I've been under audit almost for 15 years. I know a lot of wealthy people that have never been audited. I said, do you get audited? I get audited almost every year. And in a way, I should be complaining. I'm not even complaining. I don't mind it. It's almost become a way of life. I get audited by the IRS. But other people don't. I will say this. We have a situation in this country that has to be taken care of. I will release my tax returns -- against my lawyer's wishes -- when she releases her 33,000 e-mails that have been deleted. As soon as she releases them, I will release.","2016-09-26",124,"OK","negative",-0.259398,0.803759,0.397613,0.143199,0.017193,0.673909,0.13,0,0.303,0.77,0.091,0.959,0.834,0.029
135,"Trump","I will release my tax returns. And that's against -- my lawyers, they say, ""Don't do it."" I will tell you this. No -- in fact, watching shows, they're reading the papers. Almost every lawyer says, you don't release your returns until the audit's complete. When the audit's complete, I'll do it. But I would go against them if she releases her e-mails.","2016-09-26",125,"OK","negative",-0.39198,0.31646,0.556739,0.717034,0.007162,0.552909,0,0,0,0.924,0.014,0.946,0.977,0.01
136,"Holt","So it's negotiable?","2016-09-26",126,"OK","neutral",NA,0.290193,0.222638,0.216257,0.130102,0.427644,0,0,0,0.231,0.571,0.401,0.157,0.186
137,"Trump","It's not negotiable, no. Let her release the e-mails. Why did she delete 33,000...","2016-09-26",127,"OK","negative",-0.450657,0.536071,0.279335,0.331917,0.028256,0.443014,0,0,0,0.774,0.032,0.76,0.62,0.051
138,"Holt","Well, I'll let her answer that. But let me just admonish the audience one more time. There was an agreement. We did ask you to be silent, so it would be helpful for us. Secretary Clinton?","2016-09-26",128,"OK","positive",0.0652313,0.24019,0.46468,0.325437,0.164144,0.373692,0,0,0.784,0.956,0.021,0.941,0.919,0.017
139,"Clinton","Well, I think you've seen another example of bait-and- switch here. For 40 years, everyone running for president has released their tax returns. You can go and see nearly, I think, 39, 40 years of our tax returns, but everyone has done it. We know the IRS has made clear there is no prohibition on releasing it when you're under audit. So you've got to ask yourself, why won't he release his tax returns? And I think there may be a couple of reasons. First, maybe he's not as rich as he says he is. Second, maybe he's not as charitable as he claims to be. ","2016-09-26",129,"OK","positive",0.0988017,0.412964,0.355983,0.376629,0.020558,0.520014,0.758,0,0.792,0.946,0.038,0.734,0.894,0.019
140,"Clinton","Third, we don't know all of his business dealings, but we have been told through investigative reporting that he owes about $650 million to Wall Street and foreign banks. Or maybe he doesn't want the American people, all of you watching tonight, to know that he's paid nothing in federal taxes, because the only years that anybody's ever seen were a couple of years when he had to turn them over to state authorities when he was trying to get a casino license, and they showed he didn't pay any federal income tax.","2016-09-26",130,"OK","negative",-0.297465,0.452727,0.791263,0.122205,0.01036,0.766955,0.665,0,0.897,0.833,0.042,0.767,0.754,0.076
141,"Trump","That makes me smart.","2016-09-26",131,"OK","positive",0.833922,0.273741,0.142348,0.090546,0.603642,0.120519,0,0,0,0.763,0.022,0.994,0.694,0.01
142,"Clinton","So if he's paid zero, that means zero for troops, zero for vets, zero for schools or health. And I think probably he's not all that enthusiastic about having the rest of our country see what the real reasons are, because it must be something really important, even terrible, that he's trying to hide. And the financial disclosure statements, they don't give you the tax rate. They don't give you all the details that tax returns would. And it just seems to me that this is something that the American people deserve to see. And I have no reason to believe that he's ever going to release his tax returns, because there's something he's hiding. And we'll guess. We'll keep guessing at what it might be that he's hiding. But I think the question is, were he ever to get near the White House, what would be those conflicts? Who does he owe money to? Well, he owes you the answers to that, and he should provide them.","2016-09-26",132,"OK","negative",-0.287465,0.528572,0.772916,0.50083,0.013243,0.402542,0.851,0,0.98,0.69,0.009,0.971,0.7,0.065
143,"Holt","He also -- he also raised the issue of your e-mails. Do you want to respond to that?","2016-09-26",133,"OK","negative",-0.237186,0.290898,0.213301,0.549422,0.094566,0.256759,0,0,0,0.984,0.151,0.021,0.995,0.068
144,"Clinton","I do. You know, I made a mistake using a private e- mail. TRUMP:","2016-09-26",134,"OK","negative",-0.113651,0.143899,0.356402,0.352687,0.24933,0.36608,0.947,0,0,0.444,0.851,0.674,0.551,0.043
145,"Clinton","And if I had to do it over again, I would, obviously, do it differently. But I'm not going to make any excuses. It was a mistake, and I take responsibility for that.","2016-09-26",135,"OK","negative",-0.592258,0.497243,0.336432,0.364862,0.030357,0.414243,0.831,0.856,0,0.66,0.024,0.992,0.11,0.037
146,"Holt","Mr. Trump?","2016-09-26",136,"OK","neutral",NA,0.129453,0.294746,0.262269,0.201734,0.530539,0,0,0,0.012,0.571,0.401,0.157,0.817
147,"Trump","That was more than a mistake. That was done purposely. OK? That was not a mistake. That was done purposely. When you have your staff taking the Fifth Amendment, taking the Fifth so they're not prosecuted, when you have the man that set up the illegal server taking the Fifth, I think it's disgraceful. And believe me, this country thinks it's -- really thinks it's disgraceful, also. As far as my tax returns, you don't learn that much from tax returns. That I can tell you. You learn a lot from financial disclosure. And you should go down and take a look at that. The other thing, I'm extremely underleveraged. The report that said $650 -- which, by the way, a lot of friends of mine that know my business say, boy, that's really not a lot of money. It's not a lot of money relative to what I had. The buildings that were in question, they said in the same report, which was -- actually, it wasn't even a bad story, to be honest with you, but the buildings are worth $3.9 billion. And the $650 isn't even on that. But it's not $650. It's much less than that. But I could give you a list of banks, I would -- if that would help you, I would give you a list of banks. These are very fine institutions, very fine banks. I could do that very quickly. I am very underleveraged. I have a great company. I have a tremendous income. And the reason I say that is not in a braggadocios way. It's because it's about time that this country had somebody running it that has an idea about money. When we have $20 trillion in debt, and our country's a mess, you know, it's one thing to have $20 trillion in debt and our roads are good and our bridges are good and everything's in great shape, our airports. Our airports are like from a third world country. You land at LaGuardia, you land at Kennedy, you land at LAX, you land at Newark, and you come in from Dubai and Qatar and you see these incredible -- you come in from China, you see these incredible airports, and you land -- we've become a third world country. So the worst of all things has happened. We owe $20 trillion, and we're a mess. We haven't even started. And we've spent $6 trillion in the Middle East, according to a report that I just saw. Whether it's 6 or 5, but it looks like it's 6, $6 trillion in the Middle East, we could have rebuilt our country twice. And it's really a shame. And it's politicians like Secretary Clinton that have caused this problem. Our country has tremendous problems. We're a debtor nation. We're a serious debtor nation. And we have a country that needs new roads, new tunnels, new bridges, new airports, new schools, new hospitals. And we don't have the money, because it's been squandered on so many of your ideas.","2016-09-26",137,"OK","negative",-0.216711,0.953706,0.549514,0.08632,0.029895,0.141484,0.29,0,0.248,0.8,0.071,0.776,0.807,0.084
148,"Holt","We'll let you respond and we'll move on to the next segment.","2016-09-26",138,"OK","positive",0.431548,0.293108,0.120643,0.461575,0.257744,0.213565,0,0,0,0.993,0.932,0.019,0.984,0.036
149,"Clinton","And maybe because you haven't paid any federal income tax for a lot of years. And the other thing I think is important…","2016-09-26",139,"OK","negative",-0.344591,0.214008,0.533379,0.12205,0.135745,0.722286,0.97,0,0.984,0.108,0.136,0.883,0.13,0.45
151,"Trump","It would be squandered, too, believe me.","2016-09-26",140,"OK","negative",-0.48094,0.230916,0.242703,0.349249,0.172021,0.30186,0,0,0.932,0.559,0.06,0.986,0.337,0.097
152,"Clinton","... is if your -- if your main claim to be president of the United States is your business, then I think we should talk about that. You know, your campaign manager said that you built a lot of businesses on the backs of little guys. And, indeed, I have met a lot of the people who were stiffed by you and your businesses, Donald. I've met dishwashers, painters, architects, glass installers, marble installers, drapery installers, like my dad was, who you refused to pay when they finished the work that you asked them to do. We have an architect in the audience who designed one of your clubhouses at one of your golf courses. It's a beautiful facility. It immediately was put to use. And you wouldn't pay what the man needed to be paid, what he was charging you to do...","2016-09-26",141,"OK","positive",0.302899,0.567661,0.674583,0.087414,0.115062,0.161743,0.446,0.088,0,0.919,0.197,0.153,0.962,0.036
153,"Trump","Maybe he didn't do a good job and I was unsatisfied with his work...","2016-09-26",142,"OK","negative",-0.735499,0.227402,0.308919,0.03178,0.174764,0.55802,0,0,0.656,0.903,0.519,0.662,0.493,0.135
154,"Clinton","Well, to...","2016-09-26",143,"OK","positive",0.462604,0.065618,0.160037,0.023931,0.730087,0.676997,0,0,0,0.012,0.571,0.401,0.157,0.997
155,"Trump","Which our country should do, too.","2016-09-26",144,"OK","neutral",NA,0.299378,0.491239,0.130745,0.101244,0.242484,0,0,0,0.942,0.099,0.917,0.894,0.075
156,"Clinton","Do the thousands of people that you have stiffed over the course of your business not deserve some kind of apology from someone who has taken their labor, taken the goods that they produced, and then refused to pay them? I can only say that I'm certainly relieved that my late father never did business with you. He provided a good middle-class life for us, but the people he worked for, he expected the bargain to be kept on both sides. And when we talk about your business, you've taken business bankruptcy six times. There are a lot of great businesspeople that have never taken bankruptcy once. You call yourself the King of Debt. You talk about leverage. You even at one time suggested that you would try to negotiate down the national debt of the United States.","2016-09-26",145,"OK","negative",-0.170182,0.571478,0.807795,0.101496,0.028854,0.108933,0.289,0,0.608,0.928,0.152,0.292,0.94,0.049
157,"Trump","Wrong. Wrong.","2016-09-26",146,"OK","negative",-0.736752,0.457796,0.337076,0.22061,0.040344,0.417358,0,0,0,0,0,0.998,0.98,0.074
158,"Clinton","Well, sometimes there's not a direct transfer of skills from business to government, but sometimes what happened in business would be really bad for government.","2016-09-26",147,"OK","negative",-0.372581,0.308934,0.544431,0.470575,0.011895,0.555116,0,0,0.728,0.114,0.067,0.916,0.019,0.709
159,"Holt","Let's let Mr. Trump...","2016-09-26",148,"OK","negative",-0.268968,0.195859,0.235124,0.244493,0.426656,0.269878,0,0,0,0.973,0.571,0.562,0.941,0.049
160,"Clinton","And we need to be very clear about that.","2016-09-26",149,"OK","positive",0.446608,0.228021,0.169205,0.322491,0.43125,0.191869,0.407,0.964,0,0.762,0.012,0.985,0.873,0.322
161,"Trump","So, yeah, I think -- I do think it's time. Look, it's all words, it's all sound bites. I built an unbelievable company. Some of the greatest assets anywhere in the world, real estate assets anywhere in the world, beyond the United States, in Europe, lots of different places. It's an unbelievable company. But on occasion, four times, we used certain laws that are there. And when Secretary Clinton talks about people that didn't get paid, first of all, they did get paid a lot, but taken advantage of the laws of the nation. Now, if you want to change the laws, you've been there a long time, change the laws. But I take advantage of the laws of the nation because I'm running a company. My obligation right now is to do well for myself, my family, my employees, for my companies. And that's what I do. But what she doesn't say is that tens of thousands of people that are unbelievably happy and that love me. I'll give you an example. We're just opening up on Pennsylvania Avenue right next to the White House, so if I don't get there one way, I'm going to get to Pennsylvania Avenue another. But we're opening the Old Post Office. Under budget, ahead of schedule, saved tremendous money. I'm a year ahead of schedule. And that's what this country should be doing. We build roads and they cost two and three and four times what they're supposed to cost. We buy products for our military and they come in at costs that are so far above what they were supposed to be, because we don't have people that know what they're doing. When we look at the budget, the budget is bad to a large extent because we have people that have no idea as to what to do and how to buy. The Trump International is way under budget and way ahead of schedule. And we should be able to do that for our country.","2016-09-26",150,"OK","positive",0.360433,0.709278,0.443233,0.591194,0.066561,0.072799,0,0,0.328,0.766,0.145,0.854,0.54,0.126
162,"Holt","Well, we're well behind schedule, so I want to move to our next segment. We move into our next segment talking about America's direction. And let's start by talking about race. The share of Americans who say race relations are bad in this country is the highest it's been in decades, much of it amplified by shootings of African-Americans by police, as we've seen recently in Charlotte and Tulsa. Race has been a big issue in this campaign, and one of you is going to have to bridge a very wide and bitter gap. So how do you heal the divide? Secretary Clinton, you get two minutes on this.","2016-09-26",151,"OK","negative",-0.169519,0.411043,0.623091,0.532279,0.01791,0.356773,0,0.576,0,0.907,0.379,0.311,0.937,0.221
163,"Clinton","Well, you're right. Race remains a significant challenge in our country. Unfortunately, race still determines too much, often determines where people live, determines what kind of education in their public schools they can get, and, yes, it determines how they're treated in the criminal justice system. We've just seen those two tragic examples in both Tulsa and Charlotte. And we've got to do several things at the same time. We have to restore trust between communities and the police. We have to work to make sure that our police are using the best training, the best techniques, that they're well prepared to use force only when necessary. Everyone should be respected by the law, and everyone should respect the law. ","2016-09-26",152,"OK","positive",0.538135,0.44312,0.667015,0.485724,0.023659,0.093488,0.286,0.715,0,0.889,0.502,0.574,0.808,0.232
164,"Clinton","Right now, that's not the case in a lot of our neighborhoods. So I have, ever since the first day of my campaign, called for criminal justice reform. I've laid out a platform that I think would begin to remedy some of the problems we have in the criminal justice system. But we also have to recognize, in addition to the challenges that we face with policing, there are so many good, brave police officers who equally want reform. So we have to bring communities together in order to begin working on that as a mutual goal. And we've got to get guns out of the hands of people who should not have them. The gun epidemic is the leading cause of death of young African- American men, more than the next nine causes put together. So we have to do two things, as I said. We have to restore trust. We have to work with the police. We have to make sure they respect the communities and the communities respect them. And we have to tackle the plague of gun violence, which is a big contributor to a lot of the problems that we're seeing today.","2016-09-26",153,"OK","negative",-0.123174,0.48727,0.425076,0.790087,0.024345,0.02858,0,0.882,0,0.822,0.43,0.698,0.736,0.323
165,"Holt","All right, Mr. Trump, you have two minutes. How do you heal the divide?","2016-09-26",154,"OK","negative",-0.1431,0.113266,0.329036,0.373842,0.232078,0.371003,0,0.956,0,0.704,0.332,0.057,0.959,0.052
166,"Trump","Well, first of all, Secretary Clinton doesn't want to use a couple of words, and that's law and order. And we need law and order. If we don't have it, we're not going to have a country. And when I look at what's going on in Charlotte, a city I love, a city where I have investments, when I look at what's going on throughout various parts of our country, whether it's -- I mean, I can just keep naming them all day long -- we need law and order in our country. I just got today the, as you know, the endorsement of the Fraternal Order of Police, we just -- just came in. We have endorsements from, I think, almost every police group, very -- I mean, a large percentage of them in the United States. We have a situation where we have our inner cities, African- Americans, Hispanics are living in he'll because it's so dangerous. You walk down the street, you get shot. In Chicago, they've had thousands of shootings, thousands since January 1st. Thousands of shootings. And I'm saying, where is this? Is this a war-torn country? What are we doing? And we have to stop the violence. We have to bring back law and order. In a place like Chicago, where thousands of people have been killed, thousands over the last number of years, in fact, almost 4,000 have been killed since Barack Obama became president, over -- almost 4,000 people in Chicago have been killed. We have to bring back law and order. Now, whether or not in a place like Chicago you do stop and frisk, which worked very well, Mayor Giuliani is here, worked very well in New York. It brought the crime rate way down. But you take the gun away from criminals that shouldn't be having it. We have gangs roaming the street. And in many cases, they're illegally here, illegal immigrants. And they have guns. And they shoot people. And we have to be very strong. And we have to be very vigilant. We have to be -- we have to know what we're doing. Right now, our police, in many cases, are afraid to do anything. We have to protect our inner cities, because African-American communities are being decimated by crime, decimated.","2016-09-26",155,"OK","negative",-0.323993,0.931865,0.729917,0.977806,0.030595,0.12492,0.095,0.595,0,0.909,0.213,0.799,0.787,0.1
167,"Holt","Your two -- your two minutes expired, but I do want to follow up. Stop-and-frisk was ruled unconstitutional in New York, because it largely singled out black and Hispanic young men.","2016-09-26",156,"OK","negative",-0.465057,0.486311,0.364726,0.184079,0.072425,0.435794,0.676,0,0,0.903,0.057,0.741,0.645,0.047
168,"Trump","No, you're wrong. It went before a judge, who was a very against-police judge. It was taken away from her. And our mayor, our new mayor, refused to go forward with the case. They would have won an appeal. If you look at it, throughout the country, there are many places where it's allowed.","2016-09-26",157,"OK","negative",-0.130796,0.377853,0.605904,0.289282,0.018398,0.235721,0,0.787,0,0.945,0.373,0.247,0.906,0.069
169,"Holt","The argument is that it's a form of racial profiling.","2016-09-26",158,"OK","positive",0.253032,0.258393,0.335598,0.315759,0.067015,0.281971,0.724,0,0,0.005,0.13,0.711,0.601,0.69
170,"Trump","No, the argument is that we have to take the guns away from these people that have them and they are bad people that shouldn't have them. These are felons. These are people that are bad people that shouldn't be -- when you have 3,000 shootings in Chicago from January 1st, when you have 4,000 people killed in Chicago by guns, from the beginning of the presidency of Barack Obama, his hometown, you have to have stop-and-frisk. You need more police. You need a better community, you know, relation. You don't have good community relations in Chicago. It's terrible. I have property there. It's terrible what's going on in Chicago. But when you look -- and Chicago's not the only -- you go to Ferguson, you go to so many different places. You need better relationships. I agree with Secretary Clinton on this.","2016-09-26",159,"OK","negative",-0.431296,0.580447,0.748988,0.446704,0.012052,0.265803,0.45,0.654,0,0.745,0.024,0.671,0.936,0.048
171,"Trump","You need better relationships between the communities and the police, because in some cases, it's not good. But you look at Dallas, where the relationships were really studied, the relationships were really a beautiful thing, and then five police officers were killed one night very violently. So there's some bad things going on. Some really bad things. ","2016-09-26",160,"OK","negative",-0.568795,0.212184,0.375818,0.362485,0.030237,0.511823,0.877,0,0.87,0.179,0.014,0.908,0.338,0.319
172,"Holt","Secretary Clinton...","2016-09-26",161,"OK","negative",-0.395276,0.216474,0.281222,0.305583,0.222677,0.22371,0,0,0,0.012,0.571,0.401,0,0.817
173,"Trump","But we need -- Lester, we need law and order. And we need law and order in the inner cities, because the people that are most affected by what's happening are African-American and Hispanic people. And it's very unfair to them what our politicians are allowing to happen.","2016-09-26",162,"OK","negative",-0.60755,0.427851,0.33352,0.20082,0.110841,0.458087,0.446,0.823,0,0.877,0.011,0.975,0.926,0.086
174,"Holt","Secretary Clinton?","2016-09-26",163,"OK","negative",-0.357956,0.221987,0.336259,0.396087,0.143533,0.18051,0,0,0,0.012,0.571,0.401,0,0.817
